fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
2021-01-01,Buenos Aires,Mujer,25,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Chubut,Mujer,29,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Buenos Aires,Mujer,22,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-01,Mendoza,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,
2021-01-01,Buenos Aires,Mujer,36,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Mendoza,Mujer,29,,Si,Si,Si,No,No,No,No,No,No,No,No,No,Otro,
2021-01-01,Buenos Aires,Mujer,33,Boliviana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Buenos Aires,Mujer,39,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Buenos Aires,Mujer,,,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Buenos Aires,Mujer,,,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,,Varon
2021-01-01,Buenos Aires,Mujer,20,Boliviana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Buenos Aires,Mujer,45,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-01,Buenos Aires,Mujer,62,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Buenos Aires,Mujer,23,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Buenos Aires,Mujer,25,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-01,Buenos Aires,Mujer,28,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-01,Buenos Aires,Mujer,20,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-01,Buenos Aires,Mujer,34,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2021-01-01,Buenos Aires,Mujer,17,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Padre o tutor,Varon
2021-01-01,Buenos Aires,Mujer,41,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-01,Buenos Aires,Mujer,37,,No,No,Si,No,No,Si,No,No,No,No,No,No,Padre o tutor,Varon
2021-01-01,Buenos Aires,Mujer,40,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-01,Buenos Aires,Mujer,,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,47,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,27,,Si,Si,No,No,No,Si,No,No,No,No,No,No,,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,39,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,30,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,25,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,32,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,28,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,,Argentina,No,Si,No,No,Si,No,No,No,No,No,No,Si,Otro,
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,50,,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,,,Si,No,Si,No,Si,No,No,No,No,No,No,Si,Otro,Varon
2021-01-02,,,56,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,51,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,54,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,65,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,43,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,44,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,27,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,48,Argentina,Si,Si,No,Si,No,No,No,No,No,No,No,No,Otro,Varon
2021-01-02,Buenos Aires,Mujer,33,Argentina,No,No,Si,No,No,No,No,No,No,No,No,No,Otro,Varon
2021-01-02,Ciudad Autónoma de Buenos Aires,Mujer,17,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Padre o tutor,
2021-01-02,Mendoza,Mujer,36,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Mendoza,Mujer,36,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Santa Fe,Mujer,33,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,San Luis,Mujer,70,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,36,Paraguaya,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,,,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Santa Fe,Mujer,48,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Córdoba,Mujer,38,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Tucumán,Mujer,,,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Mendoza,Mujer,26,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Córdoba,Mujer,,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Córdoba,Mujer,38,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,27,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,50,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Santa Fe,Mujer,14,Argentina,No,Si,Si,No,Si,No,No,No,No,No,No,No,Otro,Varon
2021-01-02,Buenos Aires,Mujer,50,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,52,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Córdoba,Mujer,60,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,27,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Neuquén,Mujer,,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,32,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,33,Argentina,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,60,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Otro familiar,Varon
2021-01-02,Buenos Aires,Mujer,19,Argentina,No,Si,Si,No,No,No,No,No,No,No,No,No,Otro,Varon
2021-01-02,Buenos Aires,Mujer,32,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Santa Fe,Mujer,25,Argentina,Si,Si,Si,No,No,No,No,No,No,No,No,No,Otro,Varon
2021-01-02,Buenos Aires,Mujer,32,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,42,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2021-01-02,Buenos Aires,Mujer,,Paraguaya,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Córdoba,Mujer,21,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Mendoza,Mujer,44,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,
2021-01-02,Mendoza,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,26,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,61,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Santiago del Estero,Mujer,49,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Santa Fe,Mujer,52,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,36,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,25,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,23,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,18,Argentina,No,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,45,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,43,Argentina,No,No,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2021-01-02,Buenos Aires,Mujer,,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,77,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Otro familiar,Varon
2021-01-02,Buenos Aires,Mujer,19,Argentina,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2021-01-02,Buenos Aires,Mujer,,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Madre o tutor,Mujer
